Chrome,Firefox,Safari
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.3333333333333333,0.0
0.0,0.0,0.0
0.0,0.0,0.3333333333333333
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.3333333333333333,0.0
0.0,0.0,0.0
0.0,0.0,0.3333333333333333
0.0,0.0,0.6666666666666666
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.3333333333333333,0.0,0.6666666666666666
0.3333333333333333,0.3333333333333333,0.0
0.3333333333333333,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.3333333333333333
0.0,0.3333333333333333,0.3333333333333333
0.0,0.0,0.0
0.3333333333333333,0.6666666666666666,0.0
0.6666666666666666,0.0,0.3333333333333333
0.0,0.3333333333333333,0.0
0.0,0.3333333333333333,0.3333333333333333
0.0,0.3333333333333333,0.0
0.6666666666666666,0.0,0.6666666666666666
0.3333333333333333,0.0,0.3333333333333333
0.3333333333333333,0.3333333333333333,0.3333333333333333
0.6666666666666666,0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333,0.6666666666666666
0.6666666666666666,0.6666666666666666,0.0
0.3333333333333333,0.3333333333333333,1.0
0.6666666666666666,0.3333333333333333,0.3333333333333333
0.3333333333333333,0.6666666666666666,0.6666666666666666
0.6666666666666666,0.3333333333333333,0.6666666666666666
1.0,0.3333333333333333,0.6666666666666666
0.6666666666666666,1.0,1.0
1.0,1.0,0.3333333333333333
0.3333333333333333,0.0,0.6666666666666666
1.0,1.0,1.0
1.0,0.6666666666666666,1.0
0.6666666666666666,1.0,1.0
1.3333333333333333,0.6666666666666666,1.0
1.0,1.0,1.0
1.3333333333333333,1.0,1.3333333333333333
1.0,1.0,1.3333333333333333
1.0,1.6666666666666667,1.0
1.6666666666666667,0.3333333333333333,1.3333333333333333
1.3333333333333333,1.0,1.0
1.6666666666666667,1.3333333333333333,1.6666666666666667
1.3333333333333333,1.3333333333333333,1.0
1.6666666666666667,1.6666666666666667,1.6666666666666667
2.0,1.3333333333333333,1.3333333333333333
1.6666666666666667,1.6666666666666667,1.3333333333333333
2.3333333333333335,1.6666666666666667,1.6666666666666667
2.0,2.0,2.0
2.0,2.0,1.3333333333333333
2.3333333333333335,1.6666666666666667,1.6666666666666667
2.3333333333333335,2.3333333333333335,2.0
2.6666666666666665,2.0,2.0
2.6666666666666665,2.3333333333333335,2.3333333333333335
2.3333333333333335,2.0,2.0
3.0,2.3333333333333335,2.0
3.0,2.0,2.3333333333333335
3.0,3.3333333333333335,2.3333333333333335
3.3333333333333335,2.3333333333333335,2.6666666666666665
3.3333333333333335,2.6666666666666665,2.6666666666666665
3.3333333333333335,2.6666666666666665,2.3333333333333335
4.0,3.0,2.6666666666666665
3.6666666666666665,3.6666666666666665,2.6666666666666665
4.0,2.6666666666666665,3.3333333333333335
4.333333333333333,4.333333333333333,3.3333333333333335
4.0,3.0,3.0
4.666666666666667,2.6666666666666665,3.3333333333333335
4.666666666666667,4.333333333333333,3.3333333333333335
4.666666666666667,4.0,4.0
4.666666666666667,3.3333333333333335,3.6666666666666665
5.0,4.333333333333333,4.0
5.333333333333333,5.0,4.0
5.333333333333333,4.0,4.333333333333333
5.0,5.0,4.0
5.666666666666667,4.666666666666667,4.666666666666667
6.333333333333333,5.0,5.0
6.0,4.666666666666667,4.666666666666667
6.0,5.333333333333333,5.0
6.666666666666667,5.666666666666667,4.666666666666667
7.333333333333333,6.333333333333333,5.333333333333333
6.666666666666667,5.0,5.0
8.0,7.0,5.333333333333333
8.0,6.0,6.0
8.0,6.666666666666667,6.0
8.333333333333334,6.666666666666667,5.666666666666667
8.333333333333334,6.666666666666667,6.333333333333333
9.0,7.666666666666667,7.0
9.0,7.0,6.333333333333333
9.0,7.333333333333333,6.666666666666667
9.666666666666666,7.333333333333333,7.333333333333333
9.666666666666666,8.0,7.333333333333333
10.333333333333334,8.0,7.0
10.666666666666666,8.333333333333334,7.666666666666667
11.333333333333334,8.0,8.0
11.0,9.333333333333334,8.666666666666666
11.333333333333334,9.0,8.0
46.333333333333336,9.666666666666666,9.333333333333334
25.666666666666668,9.333333333333334,9.0
14.333333333333334,10.333333333333334,9.333333333333334
13.666666666666666,10.0,9.0
14.666666666666666,9.666666666666666,9.333333333333334
13.333333333333334,11.333333333333334,10.0
14.333333333333334,11.0,10.0
13.666666666666666,12.0,10.333333333333334
14.333333333333334,12.0,10.666666666666666
15.333333333333334,12.333333333333334,10.666666666666666
15.666666666666666,11.666666666666666,11.333333333333334
16.333333333333332,12.666666666666666,11.333333333333334
16.333333333333332,12.666666666666666,12.333333333333334
16.666666666666668,13.666666666666666,12.0
16.333333333333332,13.0,13.0
17.666666666666668,13.333333333333334,12.666666666666666
17.666666666666668,14.666666666666666,12.666666666666666
17.666666666666668,14.0,13.0
18.0,14.333333333333334,13.666666666666666
19.333333333333332,15.666666666666666,14.333333333333334
19.333333333333332,15.666666666666666,14.333333333333334
20.333333333333332,15.666666666666666,15.0
19.666666666666668,16.333333333333332,14.666666666666666
21.666666666666668,16.333333333333332,14.666666666666666
21.666666666666668,17.333333333333332,15.0
21.0,17.0,15.666666666666666
22.333333333333332,17.333333333333332,15.666666666666666
21.666666666666668,18.0,15.666666666666666
23.666666666666668,18.0,17.333333333333332
23.0,19.333333333333332,17.333333333333332
24.0,19.666666666666668,17.333333333333332
23.666666666666668,20.0,18.333333333333332
25.666666666666668,20.333333333333332,18.0
