WebAssembly,TypeScript,JavaScript,Browser
0.0,0.0,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.3333333333333333,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.3333333333333333,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.3333333333333333,0.0,Chrome
0.0,1.0,0.0,Chrome
0.3333333333333333,0.6666666666666666,0.3333333333333333,Chrome
0.3333333333333333,1.0,0.0,Chrome
0.3333333333333333,1.0,0.6666666666666666,Chrome
0.0,1.0,1.3333333333333333,Chrome
0.0,1.0,0.0,Chrome
0.0,1.0,0.6666666666666666,Chrome
0.0,1.0,0.0,Chrome
0.3333333333333333,1.0,0.0,Chrome
0.6666666666666666,1.3333333333333333,0.0,Chrome
0.0,1.3333333333333333,0.6666666666666666,Chrome
0.0,1.0,1.3333333333333333,Chrome
0.0,1.0,1.3333333333333333,Chrome
0.6666666666666666,1.0,1.6666666666666667,Chrome
0.3333333333333333,1.0,1.0,Chrome
0.3333333333333333,1.0,1.3333333333333333,Chrome
0.6666666666666666,1.0,1.3333333333333333,Chrome
0.3333333333333333,1.6666666666666667,1.0,Chrome
0.6666666666666666,1.3333333333333333,1.3333333333333333,Chrome
0.3333333333333333,1.6666666666666667,1.0,Chrome
0.6666666666666666,1.6666666666666667,1.0,Chrome
0.3333333333333333,1.6666666666666667,1.3333333333333333,Chrome
0.6666666666666666,2.6666666666666665,1.0,Chrome
1.0,2.6666666666666665,2.0,Chrome
0.6666666666666666,2.6666666666666665,1.6666666666666667,Chrome
1.0,3.6666666666666665,2.3333333333333335,Chrome
0.3333333333333333,3.0,2.0,Chrome
1.0,3.6666666666666665,2.0,Chrome
1.0,4.0,3.3333333333333335,Chrome
0.6666666666666666,3.6666666666666665,2.6666666666666665,Chrome
1.3333333333333333,4.666666666666667,2.0,Chrome
1.0,3.6666666666666665,3.3333333333333335,Chrome
1.3333333333333333,3.6666666666666665,3.6666666666666665,Chrome
1.0,4.0,3.3333333333333335,Chrome
1.0,5.0,3.3333333333333335,Chrome
1.6666666666666667,4.666666666666667,3.0,Chrome
1.3333333333333333,4.666666666666667,5.0,Chrome
1.6666666666666667,5.0,3.6666666666666665,Chrome
1.3333333333333333,5.333333333333333,3.6666666666666665,Chrome
1.6666666666666667,5.0,4.0,Chrome
2.0,5.333333333333333,4.0,Chrome
1.6666666666666667,6.0,5.333333333333333,Chrome
2.3333333333333335,6.0,5.333333333333333,Chrome
2.0,6.333333333333333,4.666666666666667,Chrome
2.0,8.666666666666666,6.0,Chrome
2.3333333333333335,6.333333333333333,5.333333333333333,Chrome
2.3333333333333335,7.666666666666667,5.333333333333333,Chrome
2.6666666666666665,7.0,6.333333333333333,Chrome
2.6666666666666665,7.666666666666667,6.666666666666667,Chrome
2.3333333333333335,7.666666666666667,6.666666666666667,Chrome
3.0,8.0,6.333333333333333,Chrome
3.0,8.0,7.0,Chrome
3.0,8.333333333333334,8.0,Chrome
3.3333333333333335,8.666666666666666,8.666666666666666,Chrome
3.3333333333333335,9.333333333333334,8.666666666666666,Chrome
3.3333333333333335,9.333333333333334,9.0,Chrome
4.0,9.666666666666666,8.666666666666666,Chrome
3.6666666666666665,10.333333333333334,9.0,Chrome
4.0,10.0,9.666666666666666,Chrome
4.333333333333333,10.666666666666666,9.666666666666666,Chrome
4.0,11.0,10.0,Chrome
4.666666666666667,11.666666666666666,10.0,Chrome
4.666666666666667,11.666666666666666,12.0,Chrome
4.666666666666667,12.666666666666666,11.0,Chrome
4.666666666666667,14.333333333333334,11.666666666666666,Chrome
5.0,15.666666666666666,11.333333333333334,Chrome
5.333333333333333,14.0,12.333333333333334,Chrome
5.333333333333333,14.333333333333334,13.333333333333334,Chrome
5.0,15.666666666666666,13.0,Chrome
5.666666666666667,15.333333333333334,13.333333333333334,Chrome
6.333333333333333,16.0,14.0,Chrome
6.0,17.0,15.0,Chrome
6.0,17.333333333333332,15.333333333333334,Chrome
6.666666666666667,18.0,14.0,Chrome
7.333333333333333,18.333333333333332,17.0,Chrome
6.666666666666667,18.666666666666668,18.0,Chrome
8.0,19.333333333333332,17.0,Chrome
8.0,19.0,17.0,Chrome
8.0,20.333333333333332,18.333333333333332,Chrome
8.333333333333334,20.333333333333332,17.666666666666668,Chrome
8.333333333333334,21.666666666666668,18.333333333333332,Chrome
9.0,22.666666666666668,19.333333333333332,Chrome
9.0,23.0,20.0,Chrome
9.0,23.666666666666668,21.0,Chrome
9.666666666666666,24.333333333333332,22.0,Chrome
9.666666666666666,25.0,23.0,Chrome
10.333333333333334,26.666666666666668,23.333333333333332,Chrome
10.666666666666666,26.666666666666668,23.333333333333332,Chrome
11.333333333333334,27.0,24.0,Chrome
11.0,28.0,24.666666666666668,Chrome
11.333333333333334,28.333333333333332,24.666666666666668,Chrome
46.333333333333336,29.333333333333332,26.333333333333332,Chrome
25.666666666666668,30.0,25.666666666666668,Chrome
14.333333333333334,31.0,26.666666666666668,Chrome
13.666666666666666,32.0,27.666666666666668,Chrome
14.666666666666666,32.666666666666664,28.666666666666668,Chrome
13.333333333333334,34.333333333333336,28.666666666666668,Chrome
14.333333333333334,34.666666666666664,29.333333333333332,Chrome
