Chrome,Firefox
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.3333333333333333,0.0
0.0,0.3333333333333333
0.3333333333333333,0.0
0.0,0.0
0.0,0.0
0.3333333333333333,0.0
0.0,0.0
0.3333333333333333,0.0
0.3333333333333333,0.3333333333333333
0.0,0.0
0.6666666666666666,0.0
0.3333333333333333,0.3333333333333333
0.3333333333333333,1.0
0.3333333333333333,0.0
1.0,0.0
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
1.0,0.0
0.3333333333333333,0.3333333333333333
1.0,1.0
0.6666666666666666,0.0
1.0,0.0
1.3333333333333333,1.3333333333333333
0.6666666666666666,0.3333333333333333
1.0,0.6666666666666666
1.6666666666666667,0.6666666666666666
1.6666666666666667,0.6666666666666666
2.0,0.6666666666666666
2.0,0.6666666666666666
2.0,1.0
2.0,1.0
2.0,1.6666666666666667
2.0,0.6666666666666666
2.3333333333333335,1.6666666666666667
2.3333333333333335,1.3333333333333333
2.3333333333333335,1.0
2.3333333333333335,1.0
2.6666666666666665,2.0
2.0,1.6666666666666667
2.3333333333333335,1.6666666666666667
2.6666666666666665,1.6666666666666667
2.3333333333333335,2.6666666666666665
2.3333333333333335,2.0
2.6666666666666665,2.6666666666666665
2.3333333333333335,2.3333333333333335
3.0,2.6666666666666665
3.0,2.6666666666666665
3.0,2.3333333333333335
3.6666666666666665,3.3333333333333335
3.3333333333333335,3.0
3.6666666666666665,3.6666666666666665
3.0,3.3333333333333335
4.0,3.6666666666666665
4.0,4.0
4.666666666666667,4.0
4.666666666666667,3.3333333333333335
4.333333333333333,4.333333333333333
4.666666666666667,4.0
5.333333333333333,5.0
5.666666666666667,4.0
5.666666666666667,5.0
5.666666666666667,5.666666666666667
6.333333333333333,4.666666666666667
6.333333333333333,6.0
6.666666666666667,5.666666666666667
6.666666666666667,5.666666666666667
7.0,7.0
7.666666666666667,6.0
7.666666666666667,7.333333333333333
8.333333333333334,7.666666666666667
8.333333333333334,7.0
8.666666666666666,8.0
9.0,7.666666666666667
9.333333333333334,8.0
9.666666666666666,9.0
9.666666666666666,8.0
10.666666666666666,9.666666666666666
10.666666666666666,9.333333333333334
10.333333333333334,9.333333333333334
11.333333333333334,10.333333333333334
11.666666666666666,10.666666666666666
12.333333333333334,11.0
