WebAssembly,TypeScript,JavaScript
0.0,0.0,0.6666666666666666
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.3333333333333333
0.0,0.3333333333333333,0.0
0.0,0.3333333333333333,0.0
0.0,0.0,0.0
0.3333333333333333,0.0,0.3333333333333333
0.0,0.0,0.0
0.0,0.3333333333333333,0.0
0.0,0.3333333333333333,0.3333333333333333
0.0,0.0,0.3333333333333333
0.0,0.6666666666666666,0.6666666666666666
0.0,0.3333333333333333,0.3333333333333333
0.3333333333333333,0.6666666666666666,0.3333333333333333
0.0,0.0,0.0
0.0,0.3333333333333333,0.3333333333333333
0.3333333333333333,1.0,0.3333333333333333
1.0,0.6666666666666666,0.0
0.0,0.0,0.6666666666666666
0.0,0.6666666666666666,0.6666666666666666
0.3333333333333333,1.0,1.0
0.3333333333333333,0.6666666666666666,1.0
0.0,0.6666666666666666,1.6666666666666667
0.3333333333333333,0.6666666666666666,1.0
1.0,1.3333333333333333,1.0
0.0,1.3333333333333333,1.6666666666666667
0.0,1.0,1.3333333333333333
1.3333333333333333,1.0,1.6666666666666667
0.3333333333333333,1.6666666666666667,2.6666666666666665
0.6666666666666666,1.0,1.6666666666666667
0.6666666666666666,1.6666666666666667,2.0
0.6666666666666666,2.0,2.0
0.6666666666666666,2.0,2.6666666666666665
0.6666666666666666,2.0,2.3333333333333335
1.0,2.3333333333333335,3.0
1.0,1.6666666666666667,3.0
1.6666666666666667,2.6666666666666665,3.3333333333333335
0.6666666666666666,3.3333333333333335,3.0
1.6666666666666667,3.0,4.666666666666667
1.3333333333333333,3.3333333333333335,4.0
1.0,3.3333333333333335,5.0
1.0,3.6666666666666665,5.0
2.0,3.6666666666666665,5.333333333333333
1.6666666666666667,4.333333333333333,5.666666666666667
1.6666666666666667,4.666666666666667,5.666666666666667
1.6666666666666667,4.666666666666667,6.333333333333333
2.6666666666666665,5.0,7.333333333333333
2.0,5.333333333333333,7.0
2.6666666666666665,5.666666666666667,8.666666666666666
2.3333333333333335,6.333333333333333,7.666666666666667
2.6666666666666665,6.666666666666667,8.0
2.6666666666666665,6.666666666666667,9.666666666666666
2.3333333333333335,7.0,9.333333333333334
3.3333333333333335,8.0,9.666666666666666
3.0,8.0,10.666666666666666
3.6666666666666665,8.0,10.666666666666666
3.3333333333333335,10.0,11.0
3.6666666666666665,9.666666666666666,11.666666666666666
4.0,10.333333333333334,13.333333333333334
4.0,10.0,13.0
3.3333333333333335,11.333333333333334,13.666666666666666
4.333333333333333,12.0,14.0
4.0,12.333333333333334,14.666666666666666
5.0,13.333333333333334,15.666666666666666
4.0,12.666666666666666,16.0
5.0,14.333333333333334,18.333333333333332
5.666666666666667,16.666666666666668,17.333333333333332
4.666666666666667,15.0,17.666666666666668
6.0,16.0,22.333333333333332
5.666666666666667,16.666666666666668,20.333333333333332
5.666666666666667,15.333333333333334,20.666666666666668
7.0,17.666666666666668,21.666666666666668
6.0,19.666666666666668,37.0
7.333333333333333,18.333333333333332,34.0
7.666666666666667,18.666666666666668,23.666666666666668
7.0,20.333333333333332,25.0
8.0,22.333333333333332,38.0
7.666666666666667,22.0,27.666666666666668
8.0,22.666666666666668,27.0
9.0,24.0,28.666666666666668
8.0,22.333333333333332,31.0
9.666666666666666,26.0,31.333333333333332
9.333333333333334,27.666666666666668,31.0
9.333333333333334,28.0,32.333333333333336
10.333333333333334,29.666666666666668,35.0
10.666666666666666,29.333333333333332,35.0
11.0,30.666666666666668,36.0
11.0,31.666666666666668,38.0
11.666666666666666,33.666666666666664,38.666666666666664
12.0,35.333333333333336,40.333333333333336
12.0,36.333333333333336,42.333333333333336
12.333333333333334,35.666666666666664,41.666666666666664
12.666666666666666,39.333333333333336,42.666666666666664
13.333333333333334,40.666666666666664,42.333333333333336
14.0,41.333333333333336,46.0
14.666666666666666,42.333333333333336,46.0
15.333333333333334,42.333333333333336,44.333333333333336
15.0,47.666666666666664,47.666666666666664
15.0,41.0,51.0
16.0,46.333333333333336,52.0
16.666666666666668,47.666666666666664,50.666666666666664
17.0,49.0,51.0
16.666666666666668,53.666666666666664,62.333333333333336
18.333333333333332,54.0,59.0
19.0,53.333333333333336,75.66666666666667
18.333333333333332,54.333333333333336,63.666666666666664
19.333333333333332,58.0,68.0
20.0,57.666666666666664,69.33333333333333
21.0,62.333333333333336,66.0
20.333333333333332,65.33333333333333,67.33333333333333
21.666666666666668,64.33333333333333,77.0
22.333333333333332,65.0,75.33333333333333
22.666666666666668,69.0,76.33333333333333
23.0,60.666666666666664,72.33333333333333
24.0,72.33333333333333,73.33333333333333
24.0,71.66666666666667,74.33333333333333
24.666666666666668,73.66666666666667,78.66666666666667
25.666666666666668,78.66666666666667,80.33333333333333
26.333333333333332,80.66666666666667,84.33333333333333
27.0,82.0,82.66666666666667
26.666666666666668,84.0,88.66666666666667
28.333333333333332,87.0,85.33333333333333
29.333333333333332,85.33333333333333,89.66666666666667
29.666666666666668,87.66666666666667,86.66666666666667
30.0,90.0,96.0
31.0,95.33333333333333,97.33333333333333
32.0,95.66666666666667,101.33333333333333
32.333333333333336,98.0,99.33333333333333
32.666666666666664,103.66666666666667,104.0
33.333333333333336,98.0,102.33333333333333
34.666666666666664,107.33333333333333,108.66666666666667
35.666666666666664,105.66666666666667,110.66666666666667
35.666666666666664,113.33333333333333,117.0
37.0,101.66666666666667,119.33333333333333
37.333333333333336,118.33333333333333,120.0
38.666666666666664,117.33333333333333,113.33333333333333
