WebAssembly,TypeScript,JavaScript
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.3333333333333333,0.0,0.3333333333333333
0.0,0.0,0.0
0.0,0.0,0.3333333333333333
0.0,0.3333333333333333,0.3333333333333333
0.0,0.0,0.0
0.3333333333333333,0.0,0.0
0.6666666666666666,0.3333333333333333,0.0
0.0,0.0,0.3333333333333333
0.0,0.0,0.0
0.0,0.0,0.0
0.0,1.0,0.3333333333333333
0.0,0.0,0.6666666666666666
0.6666666666666666,0.0,0.0
0.0,1.0,0.6666666666666666
0.0,0.0,0.6666666666666666
0.0,1.0,0.6666666666666666
0.3333333333333333,0.0,0.6666666666666666
0.3333333333333333,1.0,0.6666666666666666
0.0,0.6666666666666666,1.0
0.0,0.3333333333333333,0.6666666666666666
0.3333333333333333,1.0,1.0
0.0,1.0,1.3333333333333333
0.3333333333333333,1.0,1.0
0.0,1.3333333333333333,1.6666666666666667
0.6666666666666666,1.0,1.3333333333333333
0.3333333333333333,1.6666666666666667,1.0
0.3333333333333333,1.6666666666666667,1.6666666666666667
0.3333333333333333,2.0,1.3333333333333333
0.6666666666666666,2.3333333333333335,1.6666666666666667
0.0,2.6666666666666665,1.3333333333333333
1.0,2.0,1.0
0.3333333333333333,2.6666666666666665,1.0
0.6666666666666666,2.6666666666666665,1.0
0.6666666666666666,2.6666666666666665,1.0
0.6666666666666666,3.6666666666666665,1.0
1.0,3.6666666666666665,1.3333333333333333
0.3333333333333333,4.0,2.0
0.6666666666666666,3.0,1.6666666666666667
1.0,2.3333333333333335,1.6666666666666667
1.0,1.3333333333333333,1.6666666666666667
1.0,2.0,2.0
1.0,1.6666666666666667,2.0
1.0,2.0,4.0
1.3333333333333333,2.0,3.3333333333333335
1.3333333333333333,2.0,1.6666666666666667
1.0,2.0,2.0
1.3333333333333333,2.3333333333333335,2.0
1.0,2.6666666666666665,2.6666666666666665
1.6666666666666667,2.6666666666666665,2.3333333333333335
1.0,2.6666666666666665,2.6666666666666665
1.6666666666666667,2.3333333333333335,2.6666666666666665
1.3333333333333333,3.0,3.0
1.3333333333333333,3.0,2.3333333333333335
1.6666666666666667,3.0,3.3333333333333335
2.0,3.0,3.0
1.3333333333333333,3.0,2.6666666666666665
1.6666666666666667,3.6666666666666665,3.3333333333333335
2.0,3.6666666666666665,3.0
2.0,3.6666666666666665,3.3333333333333335
2.3333333333333335,4.0,3.6666666666666665
2.0,4.0,3.3333333333333335
2.0,4.0,3.6666666666666665
2.3333333333333335,4.333333333333333,4.0
2.3333333333333335,4.333333333333333,4.333333333333333
2.6666666666666665,4.333333333333333,4.333333333333333
2.6666666666666665,4.333333333333333,5.0
2.3333333333333335,5.0,5.0
2.6666666666666665,5.0,5.333333333333333
2.6666666666666665,5.666666666666667,5.666666666666667
3.3333333333333335,6.0,5.333333333333333
3.3333333333333335,6.333333333333333,6.0
3.0,6.0,6.0
3.3333333333333335,6.333333333333333,6.0
3.3333333333333335,6.666666666666667,6.333333333333333
4.0,7.333333333333333,7.333333333333333
3.6666666666666665,7.666666666666667,7.0
4.0,7.333333333333333,8.0
4.0,8.333333333333334,9.0
4.333333333333333,8.0,8.333333333333334
4.0,8.333333333333334,8.666666666666666
4.666666666666667,9.0,9.0
5.0,8.666666666666666,9.333333333333334
4.666666666666667,9.666666666666666,9.333333333333334
5.0,10.0,10.666666666666666
4.666666666666667,10.333333333333334,10.333333333333334
5.333333333333333,10.333333333333334,11.0
5.0,11.333333333333334,11.666666666666666
5.333333333333333,11.333333333333334,11.666666666666666
6.0,11.666666666666666,12.333333333333334
6.0,12.333333333333334,12.333333333333334
5.666666666666667,13.0,13.333333333333334
6.333333333333333,13.666666666666666,13.666666666666666
7.0,13.333333333333334,14.0
6.333333333333333,14.0,15.0
6.666666666666667,15.0,14.666666666666666
7.333333333333333,15.0,15.0
7.333333333333333,15.333333333333334,16.333333333333332
7.0,16.0,16.0
7.666666666666667,16.666666666666668,16.333333333333332
8.0,17.0,17.666666666666668
8.666666666666666,18.0,18.666666666666668
8.0,17.666666666666668,19.0
9.333333333333334,19.0,19.333333333333332
9.0,19.0,20.0
9.333333333333334,19.666666666666668,21.0
9.0,20.333333333333332,21.0
9.333333333333334,21.333333333333332,22.0
10.0,22.333333333333332,21.666666666666668
10.0,22.0,22.666666666666668
10.333333333333334,23.666666666666668,23.666666666666668
10.666666666666666,23.666666666666668,25.0
10.666666666666666,24.666666666666668,25.666666666666668
11.333333333333334,25.0,25.666666666666668
11.333333333333334,25.333333333333332,26.333333333333332
12.333333333333334,26.0,26.666666666666668
12.0,27.0,27.666666666666668
13.0,28.333333333333332,29.0
12.666666666666666,29.0,29.666666666666668
12.666666666666666,29.0,30.666666666666668
13.0,30.333333333333332,31.666666666666668
13.666666666666666,30.333333333333332,31.666666666666668
14.333333333333334,32.0,32.333333333333336
14.333333333333334,32.0,33.333333333333336
15.0,34.0,34.333333333333336
14.666666666666666,35.0,34.333333333333336
14.666666666666666,35.333333333333336,36.666666666666664
15.0,34.666666666666664,37.333333333333336
15.666666666666666,37.0,38.666666666666664
15.666666666666666,37.333333333333336,39.333333333333336
15.666666666666666,39.0,40.333333333333336
17.333333333333332,39.333333333333336,42.666666666666664
17.333333333333332,40.0,42.0
17.333333333333332,41.666666666666664,43.0
18.333333333333332,43.0,44.0
18.0,44.333333333333336,44.333333333333336
18.666666666666668,43.666666666666664,46.0
19.0,45.0,47.0
19.333333333333332,47.0,47.333333333333336
