WebAssembly,TypeScript,JavaScript,Browser
0.0,0.0,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,0.0,0.0,Chrome
0.0,1.0,0.0,Chrome
0.0,0.3333333333333333,0.0,Chrome
0.3333333333333333,0.3333333333333333,0.0,Chrome
0.0,0.6666666666666666,0.0,Chrome
0.3333333333333333,0.6666666666666666,0.0,Chrome
0.0,0.6666666666666666,0.0,Chrome
0.0,1.0,0.6666666666666666,Chrome
0.3333333333333333,1.0,0.6666666666666666,Chrome
0.0,1.0,1.0,Chrome
0.3333333333333333,2.0,0.0,Chrome
0.3333333333333333,1.6666666666666667,0.3333333333333333,Chrome
0.0,2.0,0.0,Chrome
0.6666666666666666,1.6666666666666667,0.3333333333333333,Chrome
0.3333333333333333,2.3333333333333335,1.3333333333333333,Chrome
0.3333333333333333,1.6666666666666667,1.0,Chrome
0.3333333333333333,1.3333333333333333,1.0,Chrome
1.0,2.0,1.0,Chrome
0.3333333333333333,2.0,1.0,Chrome
0.3333333333333333,2.3333333333333335,1.0,Chrome
1.0,2.6666666666666665,1.3333333333333333,Chrome
0.3333333333333333,1.6666666666666667,1.3333333333333333,Chrome
1.0,2.0,1.0,Chrome
0.6666666666666666,2.0,1.0,Chrome
1.0,2.0,1.6666666666666667,Chrome
1.3333333333333333,2.0,1.6666666666666667,Chrome
0.6666666666666666,2.0,2.0,Chrome
1.0,2.3333333333333335,2.3333333333333335,Chrome
1.6666666666666667,3.0,2.0,Chrome
1.6666666666666667,3.0,2.3333333333333335,Chrome
2.0,3.3333333333333335,2.3333333333333335,Chrome
2.0,4.333333333333333,3.0,Chrome
2.0,4.0,3.0,Chrome
2.0,4.0,3.0,Chrome
2.0,4.333333333333333,3.0,Chrome
2.0,5.0,4.0,Chrome
2.3333333333333335,5.0,4.0,Chrome
2.3333333333333335,5.0,3.6666666666666665,Chrome
2.3333333333333335,6.333333333333333,4.333333333333333,Chrome
2.3333333333333335,6.333333333333333,5.0,Chrome
2.6666666666666665,6.333333333333333,4.666666666666667,Chrome
2.0,6.333333333333333,5.333333333333333,Chrome
2.3333333333333335,7.333333333333333,5.0,Chrome
2.6666666666666665,7.333333333333333,5.0,Chrome
2.3333333333333335,8.0,5.666666666666667,Chrome
2.3333333333333335,8.0,6.0,Chrome
2.6666666666666665,10.0,6.666666666666667,Chrome
2.3333333333333335,9.0,7.666666666666667,Chrome
3.0,10.0,7.333333333333333,Chrome
3.0,10.333333333333334,10.0,Chrome
3.0,11.0,7.0,Chrome
3.6666666666666665,12.0,9.0,Chrome
3.3333333333333335,12.333333333333334,12.666666666666666,Chrome
3.6666666666666665,13.666666666666666,9.0,Chrome
3.0,15.333333333333334,9.666666666666666,Chrome
4.0,13.666666666666666,12.666666666666666,Chrome
4.0,14.666666666666666,10.0,Chrome
4.666666666666667,15.333333333333334,12.0,Chrome
4.666666666666667,15.666666666666666,15.0,Chrome
4.333333333333333,16.333333333333332,14.0,Chrome
4.666666666666667,16.333333333333332,15.333333333333334,Chrome
5.333333333333333,17.333333333333332,14.666666666666666,Chrome
5.666666666666667,18.666666666666668,16.0,Chrome
5.666666666666667,19.666666666666668,15.0,Chrome
5.666666666666667,20.666666666666668,14.666666666666666,Chrome
6.333333333333333,21.333333333333332,15.333333333333334,Chrome
6.333333333333333,22.666666666666668,17.333333333333332,Chrome
6.666666666666667,22.333333333333332,18.333333333333332,Chrome
6.666666666666667,24.0,18.0,Chrome
7.0,24.666666666666668,18.0,Chrome
7.666666666666667,25.666666666666668,19.0,Chrome
7.666666666666667,26.333333333333332,21.0,Chrome
8.333333333333334,27.0,20.666666666666668,Chrome
8.333333333333334,28.333333333333332,23.0,Chrome
8.666666666666666,32.333333333333336,27.0,Chrome
9.0,35.333333333333336,23.0,Chrome
9.333333333333334,31.333333333333332,25.0,Chrome
9.666666666666666,33.0,27.0,Chrome
9.666666666666666,34.333333333333336,26.666666666666668,Chrome
10.666666666666666,35.666666666666664,30.666666666666668,Chrome
10.666666666666666,36.333333333333336,28.666666666666668,Chrome
10.333333333333334,39.333333333333336,30.0,Chrome
11.333333333333334,39.333333333333336,30.333333333333332,Chrome
11.666666666666666,41.0,31.666666666666668,Chrome
12.333333333333334,42.0,34.666666666666664,Chrome
12.666666666666666,43.666666666666664,34.0,Chrome
12.666666666666666,45.666666666666664,36.333333333333336,Chrome
13.666666666666666,46.0,36.0,Chrome
14.0,47.333333333333336,36.0,Chrome
14.333333333333334,48.666666666666664,39.0,Chrome
14.666666666666666,50.333333333333336,38.666666666666664,Chrome
15.0,51.0,40.0,Chrome
15.0,54.333333333333336,42.0,Chrome
16.666666666666668,55.333333333333336,41.333333333333336,Chrome
16.666666666666668,56.333333333333336,46.0,Chrome
17.0,58.0,44.0,Chrome
18.0,59.666666666666664,45.0,Chrome
18.333333333333332,63.0,46.333333333333336,Chrome
18.333333333333332,65.33333333333333,49.333333333333336,Chrome
19.333333333333332,66.66666666666667,50.666666666666664,Chrome
19.666666666666668,66.66666666666667,49.666666666666664,Chrome
20.333333333333332,68.33333333333333,51.666666666666664,Chrome
21.333333333333332,71.0,53.0,Chrome
21.0,72.66666666666667,55.333333333333336,Chrome
22.0,74.33333333333333,58.333333333333336,Chrome
23.0,76.0,58.0,Chrome
23.0,77.66666666666667,59.666666666666664,Chrome
23.666666666666668,77.33333333333333,61.333333333333336,Chrome
